Date;Open;High;Low;Close;Volume
2013-12-16;79.2885;80.377;76.9714;78.4314;457580848
2013-12-23;81.1428;81.6971;79.9285;80.0128;274253503
2013-12-30;79.6371;80.1828;77.2043;77.2828;275734934
2014-01-06;76.7785;78.1228;75.8728;76.1343;393462075
2014-01-13;75.7014;80.0285;75.6971;77.2385;439557459
2014-01-20;77.2843;79.6128;77.2028;78.01;385585525
2014-01-27;78.5814;79.2571;70.5071;71.5143;813702575
2014-02-03;71.8014;74.7042;71.3286;74.24;434447570
2014-02-10;74.0943;77.9971;74;77.7128;379011880
2014-02-17;78;78.7414;74.9428;75.0357;289609443
2014-02-24;74.7357;76.1071;73.6571;75.1771;367569649
2014-03-03;74.7743;76.3928;74.6871;75.7771;275972640
2014-03-10;75.48;77.0943;74.7143;74.9557;287729528
2014-03-17;75.3857;76.6057;75.0286;76.1243;303531061
2014-03-24;76.9171;78.4285;76.3214;76.6943;338387221
2014-03-31;77.0328;77.64;75.7971;75.9743;245749459
2014-04-07;75.4314;76.0343;73.8771;74.23;312008139
2014-04-14;74.5571;75.3943;73.0471;74.9914;241209047
2014-04-21;75.0485;81.7128;74.8514;81.7057;476651465
2014-04-28;81.8285;85.6328;81.7928;84.6543;473712709
2014-05-05;84.3057;86.3442;82.9043;83.6489;365535013
2014-05-12;83.9271;85.3614;83.6285;85.3585;260931637
2014-05-19;85.4071;87.8184;85.3328;87.7328;294298274
2014-05-26;87.9828;92.0243;87.9471;90.4285;400232120
2014-06-02;90.5657;93.0371;88.9285;92.2243;412158024
2014-06-09;92.7;95.05;90.88;91.28;292422550
2014-06-16;91.51;92.75;90.9;90.91;234325480
2014-06-23;91.32;92;89.65;91.98;213712160
2014-06-30;92.1;94.1;92.09;94.03;138936570
2014-07-07;94.14;96.8;93.52;95.22;229782440
2014-07-14;95.86;97.1;92.57;94.43;248104390
2014-07-21;94.99;97.88;93.72;97.671;273021350
2014-07-28;97.82;99.44;94.81;96.13;235868530
2014-08-04;96.37;96.58;93.28;94.74;222522120
2014-08-11;95.27;98.19;94.8355;97.98;178806580
2014-08-18;98.49;101.47;97.98;101.32;246446280
2014-08-25;101.79;102.9;100.7;102.5;232858250
2014-09-01;103.06;103.74;97.79;98.97;322045910
2014-09-08;99.3;103.08;96.14;101.66;460851840
2014-09-15;102.81;103.05;98.89;100.96;296425730
2014-09-22;101.8;102.94;97.72;100.75;337617850
2014-09-29;98.65;101.54;98.04;99.62;246900230
2014-10-06;99.95;102.38;98.31;100.73;279646740
2014-10-13;101.33;101.78;95.18;97.67;356408760
2014-10-20;98.315;105.49;98.22;105.22;355329760
2014-10-27;104.85;108.04;104.7;108;219443560
2014-11-03;108.22;110.3;107.72;109.01;199332700
2014-11-10;109.02;114.19;108.4;114.18;203976340
2014-11-17;114.27;117.57;113.3;116.47;232574480
2014-11-24;116.85;119.75;116.62;118.93;181158620
2014-12-01;118.81;119.25;111.27;115;266118290
