Date;Open;High;Low;Close;Volume
2013-12-16;537.4742;556.2504;534.9687;555.9726;10274624
2013-12-23;559.6197;565.9037;558.2458;564.9541;5363215
2013-12-30;565.934;566.2674;558.1498;558.1851;6078958
2014-01-06;562.2313;579.5628;558.9125;570.9047;10790033
2014-01-13;569.0306;586.2863;564.3328;581.1844;11233866
2014-01-20;586.4379;589.9537;567.2777;567.697;9418337
2014-01-27;568.8437;599.3746;546.7032;596.561;19566762
2014-02-03;595.6669;596.9408;569.8136;594.7778;14406467
2014-02-10;591.9288;608.3915;590.5245;607.5883;9748121
2014-02-17;606.8861;612.6751;604.912;608.0884;7775187
2014-02-24;608.8815;620.7625;608.7501;614.0794;8667650
2014-03-03;609.5836;619.8054;602.2034;613.645;7590208
2014-03-10;614.0996;615.0821;592.2975;592.4339;9524487
2014-03-17;595.6921;612.2306;595.1163;597.6066;10481037
2014-03-24;598.1875;598.5462;556.7202;565.8381;14072899
2014-03-31;571.0158;588.3;544.494;545.25;15581981
2014-04-07;544.79;568.21;530.53;537.76;16929158
2014-04-14;543.66;564;530.64;543.34;16670747
2014-04-21;544;547.995;522.5;523.1;11138816
2014-04-28;525.8;542.4;511;533.87;12101602
2014-05-05;530.24;535.72;511.09;526.62;10846346
2014-05-12;531.84;543.99;523.57;528.3;8972959
2014-05-19;528.88;565;525.66;563.8;10782940
2014-05-26;567.78;577.66;564.15;571.65;7047099
2014-06-02;569.75;570.41;548.56;566.03;8949464
2014-06-09;566.75;572;553.72;560.35;7029260
2014-06-16;557.25;566.77;547.47;566.52;11257174
2014-06-23;564.35;589.6;563.5;585.69;10693959
2014-06-30;586.76;594.25;583.29;593.08;5216168
2014-07-07;593.51;595.645;572.1001;586.65;7777033
2014-07-14;590.6;606.7;576.85;605.11;12839757
2014-07-21;601.35;608.91;594.45;598.08;7875495
2014-07-28;597.75;601.098;570.3;573.6;8454040
2014-08-04;576.51;583.82;567.45;577.94;7142835
2014-08-11;579;589.47;569.91;583.71;7456043
2014-08-18;587.1;597.81;586.55;592.54;5479718
2014-08-25;594.77;595.58;577.88;582.36;6740329
2014-09-01;582.95;598.5;582.4;597.78;6588640
2014-09-08;599.14;603.52;583.28;584.9;7674692
2014-09-15;582.24;605.4;577.01;605.4;10511975
2014-09-22;602.5;603.8;584.74;587.9;7896442
2014-09-29;581.83;591;574.05;586.25;6914581
2014-10-06;589.95;592.4;555.01;555.19;10422569
2014-10-13;555.13;560.875;518.41;522.97;18945206
2014-10-20;520.45;557.4;519.14;548.9;12503821
2014-10-27;547.76;568.73;547.2;567.87;9331033
2014-11-03;563.53;567.15;549.35;551.82;7803101
2014-11-10;552.4;562.5;551.62;555.19;6419635
2014-11-17;555.19;555.19;539.19;545.89;9253808
2014-11-24;546.57;552.5;544.15;549.08;6243328
2014-12-01;545.09;548.79;527.26;528.08;10387285
2014-12-08;529.22;539.36;521.46;521.51;12154297
2014-12-15;523.76;525.37;497.19;520.04;19275130
2014-12-22;520.61;543.25;520.59;541.52;8044098
2014-12-29;540.5;543.93;527.88;529.55;5825674
2015-01-05;527.15;527.9899;495.02;500.72;12886032
2015-01-12;499.24;510.85;490.91;510.455;13575803
2015-01-19;512.77;545.41;509.37;541.95;9752675
2015-01-26;541.5;543.1;503.48;537.55;15230365
2015-02-02;534.32;540.215;521.72;533.875;11613585
2015-02-09;531.06;552.54;527.55;551.16;10521390
2015-02-16;551.16;553;538.1;541.8;6872856
2015-02-23;539;569.42;531;562.63;11220548
2015-03-02;567;583.2;563.15;572.9;10612243
2015-03-09;570.92;575.45;550.33;553;8751591
2015-03-16;556.93;567.1;551.32;564.95;8490203
2015-03-23;566;581.88;556.93;557.55;12321629
2015-03-30;560.25;562.45;540.44;541.31;7308834
2015-04-06;538.84;551.5;535.7;548.54;7392624
2015-04-13;547.05;553.27;529;532.74;10211092
2015-04-20;533.75;584.7;533.35;573.66;13410076
2015-04-27;572.77;575.52;543.85;551.16;10029414
2015-05-04;550.99;556.69;532.235;548.95;8123458
2015-05-11;548.49;553.3699;535;546.49;7317996
2015-05-18;543.82;558.24;542.25;554.52;8145580
2015-05-25;552.58;555.76;542.97;545.32;6943849
2015-06-01;548.73;558.79;543.58;549.53;7114198
2015-06-08;549.61;554.83;538.8506;547.47;6934990
2015-06-15;542.73;557.91;539.21;557.52;9219124
2015-06-22;559.41;565.61;551.85;553.06;8264928
2015-06-29;546.75;550.9;539.54;547.34;6547008
2015-07-06;542.25;559.29;539.85;556.11;7992720
2015-07-13;559.51;703;558.7;699.62;26112714
2015-07-20;688.98;713.33;653.18;654.77;20879504
2015-07-27;651.57;668.05;651.55;657.5;10196004
2015-08-03;657.66;679.91;657.66;664.39;8098268
2015-08-10;667.09;704;660.23;689.37;13178742
2015-08-17;688.04;700.2;643.104;644.03;12535323
2015-08-24;600.6;673.9799;593.09;659.69;19212303
2015-08-31;654.34;664.41;625.06;628.96;10135974
2015-09-07;641;657.36;632.9;655.3;7131124
2015-09-14;655.63;681.99;649.501;660.92;10579930
2015-09-21;665.51;669;639.655;640.15;10433163
2015-09-28;639.05;658.2555;617.84;656.99;11674555
2015-10-05;661.6;678.8;654.49;671.24;9809582
2015-10-12;669.19;696.22;667.24;695.32;9182330
2015-10-19;694;752.5;670.7;719.33;16417076
2015-10-26;720.02;746.79;720.02;737.39;10137676
2015-11-02;737.88;766.35;731.45;761.6;9845448
2015-11-09;758.52;769.08;739.47;740.07;9534443
2015-11-16;740.21;779.318;734.33;777;10459286
2015-11-23;777.47;782.9;758.11;771.97;6025914
2015-11-30;771.87;793.0475;761.12;779.21;10547263
2015-12-07;780.06;781;748.65;750.42;9468095
2015-12-14;751.26;781.59;736.26;756.85;13009349
2015-12-21;763.05;771.9;754.15;765.84;5602850
2015-12-28;770;798.69;767.73;778.01;6539617
2016-01-04;762.2;769.2;728.9201;730.91;13556911
2016-01-11;731.95;753;701.51;710.49;14011958
2016-01-18;720.15;748.56;687.78;745.46;11504710
2016-01-25;743.84;765.105;713.45;761.35;12799534
2016-02-01;771.26;810.35;700.14;703.76;29491367
2016-02-08;687.68;723.22;682.01;706.89;17231382
2016-02-15;718.65;736;710.18;722.11;8735323
2016-02-22;729.51;736.16;702.02;724.86;9713190
2016-02-29;721;743.121;716.84;730.22;11516760
2016-03-07;725.15;744.9;704;744.87;11685311
2016-03-14;744.97;765.34;742.84;755.41;9624338
2016-03-21;753.91;765.39;750.5;754.84;5309129
2016-03-28;756.17;777.31;748.29;769.67;8300329
2016-04-04;769.51;772.44;755.6;759.47;6278146
2016-04-11;765.45;780.93;751.565;780;7630630
2016-04-18;780.19;790.95;730.37;737.77;16405674
2016-04-25;735.35;745.59;703.2;707.88;14590704
2016-05-02;711.92;725.99;704.05;725.18;8788768
2016-05-09;726.7;740.8;723.5;724.83;7629123
2016-05-16;724.32;735.85;710.305;721.71;7670015
2016-05-23;719.98;747.91;716.94;747.6;7845336
2016-05-30;748.76;753.48;733.91;735.86;6088240
2016-06-06;738.5;743.93;728.29;733.19;6732991
2016-06-13;729.82;739;701.12;704.25;10011635
2016-06-20;710.31;715.87;684.91;685.2;12116143
2016-06-27;682.49;712.53;672.66;710.25;10633735
2016-07-04;705.01;717.9;699;717.78;5416418
2016-07-11;719.42;741;718.865;735.63;6466769
2016-07-18;737.91;760.64;736.51;759.28;6572251
2016-07-25;757.68;803.94;752.7503;791.34;12512422
2016-08-01;786.67;807.49;785.04;806.93;9361751
2016-08-08;806;813.879;801.69;807.05;5923685
2016-08-15;807.21;811.36;796.3;799.65;5036577
2016-08-22;798.51;801;787.23;793.22;5503217
2016-08-29;793.05;798.52;786.33;796.87;5685277
2016-09-05;798.39;810.89;788.05;788.48;6193698
2016-09-12;784.52;803.645;783.5;797.97;8675917
2016-09-19;801.11;819.06;793.56;814.96;6712149
2016-09-26;809.82;813.91;800.45;804.06;7240271
2016-10-03;802.55;808.5;796.23;800.71;6215962
2016-10-10;803.93;819.86;798.62;804.6;6589747
2016-10-17;805.99;829.81;803.83;824.06;7838949
2016-10-24;830.09;839;814.61;819.56;12415980
2016-10-31;822.43;822.63;771.0043;781.1;11019465
2016-11-07;794.95;816.04;765.54;771.75;16331449
2016-11-14;771.76;791.29;743.59;775.97;11749872
2016-11-21;778.1;793.77;772.65;780.23;4944619
2016-11-28;778.35;799.74;753.36;764.46;10963545
2016-12-05;770;809.95;766.9686;809.45;8957123
2016-12-12;804.82;824.3;804.5311;809.84;9896014
2016-12-19;809.28;816.49;804.5;807.8;5888239
2016-12-26;808.68;816;789.62;792.45;4969504
2017-01-02;800.62;828.96;796.89;825.21;6827349
2017-01-09;826.37;834.65;821.01;830.94;6568774
2017-01-16;830;832.9999;823.2001;828.17;4840277
2017-01-23;831.61;867;828.7;845.03;13005078
2017-01-30;837.06;837.23;812.051;820.13;10994216
2017-02-06;820.92;837.15;814.29;834.85;6925758
2017-02-13;837.7;846.94;835.83;846.55;6477860
2017-02-20;847.99;853.79;842.5;847.81;5217237
2017-02-27;844.95;858;841.4422;849.08;6462679
2017-03-06;846.86;864.229;841.17;861.405;5792990
2017-03-13;860.83;874.42;860.13;872.37;6513156
2017-03-20;869.48;873.47;829.1;835.14;10809230
2017-03-27;828.09;852;824.3;847.8;7297141
2017-04-03;848.75;860.59;837.3;842.1;7806849
2017-04-10;841.54;846.7372;834.6;840.18;4226133
2017-04-17;841.38;863.93;841.03;858.95;5419334
2017-04-24;868.44;935.9;866.11;924.52;11154428
2017-05-01;924.15;959.14;920.8;950.28;9447551
2017-05-08;947.45;962.2;947.395;955.14;6953545
2017-05-15;955.29;965.8955;940.06;954.65;8038254
2017-05-22;957;996.39;956.56;993.27;7652634
2017-05-29;992.5;999.6;981.29;996.12;6281158
2017-06-05;997.89;1008.61;953.37;970.12;9623809
2017-06-12;958.72;979.7;936.795;958.62;12606361
2017-06-19;969.65;986.62;968.2;986.09;6447707
2017-06-26;990;993.99;929.6;929.68;12185012
2017-07-03;933.22;944.66;915.31;940.81;7418679
2017-07-10;941.95;978.7;941.95;976.91;7066356
2017-07-17;976.32;998.68;970.8;993.84;7337322
2017-07-24;994.1;1006.19;937.06;958.33;17538720
2017-07-31;960;961.1925;932.521;945.79;7906260
2017-08-07;947.52;952.49;921.22;930.09;8659572
2017-08-14;939.07;949.9;923.45;926.18;6604865
2017-08-21;925.77;946.31;918.6;930.5;6670580
2017-08-28;931.88;958.33;919.31;951.99;6053723
2017-09-04;946.86;951.3854;932.68;941.41;4963144
2017-09-11;947.2;952.85;931.25;935.29;7095601
2017-09-18;935.01;952.8;925.4;943.26;6992976
2017-09-25;939.45;975.81;924.5101;973.72;9257573
2017-10-02;975.65;994.26;961.95;993.64;7007339
2017-10-09;995;1014.76;981.11;1007.87;7138420
2017-10-16;1009.63;1016.3091;997.3;1005.07;6641556
2017-10-23;1005.18;1063.62;977.08;1033.67;11997560
2017-10-30;1029.16;1050.66;1022.33;1049.99;8693147
2017-11-06;1049.1;1062.691;1035.85;1044.15;6196191
2017-11-13;1040.8;1051.76;1029.33;1035.89;5365225
2017-11-20;1036;1060.07;1032.675;1056.52;3490356
2017-11-27;1058.57;1080;1016.9;1025.07;10479622
2017-12-04;1027.8;1056.42;1002.315;1049.38;8301936
2017-12-11;1051.11;1075.25;1044.12;1072;8968838
2017-12-18;1076.45;1086.49;1067.64;1068.86;6372471
2017-12-25;1068.64;1068.86;1052.7;1053.4;4206522
2018-01-01;1053.02;1113.5799;1053.02;1110.29;5966731
2018-01-08;1111;1131.3025;1103.9842;1130.65;6643050
2018-01-15;1140.31;1148.88;1123.49;1143.5;6013332
2018-01-22;1143.82;1187.56;1141.82;1187.56;8846096
2018-01-29;1188;1198;1111.17;1119.2;14622354
2018-02-05;1100.61;1114.99;997;1046.27;18784021
2018-02-12;1056.67;1108.31;1045.49;1095.5;10290400
2018-02-19;1092.76;1136.2;1090;1128.09;6416618
2018-02-26;1131.86;1144.25;1050.11;1084.14;11320414
2018-03-05;1078.13;1161;1072.2701;1160.84;7873539
2018-03-12;1165.05;1178.16;1131.36;1134.42;10822102
2018-03-19;1117.76;1119.37;1024.87;1026.55;13947523
2018-03-26;1050.6;1064.54;984;1037.14;13662073
2018-04-02;1027.62;1046.71;994.25;1009.95;12093025
2018-04-09;1020.04;1052.98;1015.41;1036.04;8011928
2018-04-16;1045.55;1097.51;1033.92;1077.32;9846897
2018-04-23;1082.98;1088;1012.855;1031.45;17171381
2018-04-30;1034.42;1051.8792;1007.89;1051;8945497
2018-05-07;1053.89;1109.41;1050.2697;1103.38;8694896
2018-05-14;1105.57;1118.15;1064.68;1069.64;8087930
2018-05-21;1079;1093.3;1066.96;1084.08;5681698
2018-05-28;1076;1138.16;1063.08;1135;10340967
2018-06-04;1138.5;1161.0964;1123.23;1132.71;8794434
2018-06-11;1132.94;1165.99;1131.3986;1159.27;8215667
2018-06-18;1152.69;1201.49;1151;1169.29;10543654
2018-06-25;1155;1155.99;1106.0724;1129.19;9387746
2018-07-02;1115.35;1156.2;1106.6;1155.08;4499313
