Date;Open;High;Low;Close;Volume
16.12.2013;36.73;37.11;35.53;36.8;237254390
23.12.2013;36.81;37.62;36.55;37.29;71518640
30.12.2013;37.22;37.58;36.6;36.91;95547230
06.01.2014;36.85;36.89;35.4;36.04;216280080
13.01.2014;35.99;37;34.63;36.38;216596570
20.01.2014;36.82;37.55;35.52;36.805;174367660
27.01.2014;36.87;37.89;35.75;37.84;261453300
03.02.2014;37.74;37.985;35.69;36.56;243236880
10.02.2014;36.63;37.86;36.29;37.62;166541750
17.02.2014;37.63;38.35;37.21;37.98;128130160
24.02.2014;37.69;38.46;37.19;38.31;178831700
03.03.2014;37.92;38.48;37.495;37.9;127211720
10.03.2014;37.99;38.45;37.5058;37.7;134069410
17.03.2014;37.9;40.94;37.79;40.16;259441790
24.03.2014;40.34;40.99;39.34;40.3;209689220
31.03.2014;40.43;41.66;39.64;39.87;189387750
07.04.2014;39.96;40.69;39;39.209;181060320
14.04.2014;39.11;40.415;38.9;40.01;132942440
21.04.2014;40.13;40.68;39.3;39.91;172520030
28.04.2014;40.14;41.29;39.66;39.69;187837720
05.05.2014;39.52;39.9;38.51;39.54;153010210
12.05.2014;39.74;40.5;39.27;39.83;136143750
19.05.2014;39.61;40.37;39.46;40.12;105551570
26.05.2014;40.26;40.97;39.81;40.94;106323400
02.06.2014;40.95;41.66;39.86;41.48;115615270
09.06.2014;41.39;41.565;40.29;41.23;103767780
16.06.2014;41.04;41.91;40.335;41.68;141243350
23.06.2014;41.73;42.29;41.43;42.25;159259060
30.06.2014;42.17;42.21;41.53;41.8;93884650
07.07.2014;41.75;42.12;41.05;42.09;117426560
14.07.2014;42.22;45.71;42.03;44.69;239469110
21.07.2014;44.56;45.45;44.22;44.5;189904860
28.07.2014;44.36;44.51;42.6;42.86;151778830
04.08.2014;42.97;43.47;42.21;43.2;144327780
11.08.2014;43.26;44.895;43;44.79;124980770
18.08.2014;44.94;45.47;44.68;45.15;120283580
25.08.2014;45.4;45.44;44.61;45.43;91723900
01.09.2014;45.43;45.93;44.53;45.91;119780980
08.09.2014;46.02;47.02;45.99;46.695;180681540
15.09.2014;46.54;47.57;46.1;47.52;341750640
22.09.2014;47.3;47.38;45.76;46.41;158554900
29.09.2014;45.98;46.56;45.61;46.09;154753960
06.10.2014;46.12;46.89;43.95;44.03;165426900
13.10.2014;43.82;44.56;42.1;43.63;224968330
20.10.2014;43.06;46.9;42.81;46.13;209227020
27.10.2014;45.71;46.97;45.71;46.95;155463870
03.11.2014;46.89;48.92;46.73;48.68;127833900
10.11.2014;48.65;50.045;48.52;49.58;136549520
17.11.2014;49.41;49.705;47.57;47.98;144768170
24.11.2014;47.99;48.195;47.28;47.81;110915260
01.12.2014;47.88;49.06;47.71;48.42;137531230
08.12.2014;48.26;48.35;46.67;46.95;144571030
15.12.2014;47.2;48.1;44.9;47.66;216480690
22.12.2014;47.78;48.8;47.71;47.88;74855980
29.12.2014;47.7;47.78;46.45;46.76;80192640
05.01.2015;46.37;47.82;45.49;47.19;158783080
12.01.2015;47.42;47.91;45.17;46.24;157023100
19.01.2015;46.3;47.39;45.48;47.18;135215020
26.01.2015;47;47.1339;40.35;40.4;436099320
02.02.2015;40.59;42.79;40.23;42.41;215083450
09.02.2015;42.24;43.87;42.18;43.87;168670140
16.02.2015;43.97;44;43.05;43.855;118106700
23.02.2015;43.7;44.3;43.65;43.85;147830390
02.03.2015;43.67;44.19;42.15;42.36;148495150
09.03.2015;42.19;43.125;40.61;41.38;221436420
16.03.2015;41.47;42.98;41.15;42.88;216696170
23.03.2015;42.88;43.17;40.83;40.97;166578020
30.03.2015;41.1;41.54;40.12;40.29;144208600
06.04.2015;40.34;41.95;40.18;41.72;146249710
13.04.2015;41.4;42.46;41.16;41.615;146154530
20.04.2015;41.73;48.14;41.68;47.87;273418920
27.04.2015;47.23;49.54;47.22;48.655;267036900
04.05.2015;48.37;48.87;46.02;47.75;204768500
11.05.2015;47.55;48.905;46.42;48.295;150303450
18.05.2015;47.98;48.22;46.82;46.9;125233990
25.05.2015;46.83;48.02;46.19;46.86;112670260
01.06.2015;47.06;47.77;45.84;46.14;131004480
08.06.2015;46.3;46.92;45.46;45.97;126126110
15.06.2015;45.45;46.825;45.0201;46.1;185125830
22.06.2015;46.33;46.72;45.03;45.26;151388790
29.06.2015;45.04;45.23;43.94;44.4;120030300
06.07.2015;43.96;45.22;43.32;44.61;156977070
13.07.2015;44.975;46.78;44.9501;46.62;133070210
20.07.2015;46.65;47.33;45.1;45.94;197870410
27.07.2015;45.94;47.4;44.79;46.7;185654350
03.08.2015;46.98;48.41;46.26;46.74;130731820
