Date;Open;High;Low;Close;Volume
2013-12-16;52.8543;54.2657;52.0357;53.6671;84895018
2013-12-23;54.0986;54.8514;52.2586;52.5;47418561
2013-12-30;52.5171;52.7914;51.2914;51.8714;48719756
2014-01-06;51.89;52.0443;47.2186;47.4486;104891245
2014-01-13;47.3043;49.81;45.5814;47.1486;124935575
2014-01-20;47.4614;56.5186;45.75;55.1543;200353626
2014-01-27;55.3414;58.9143;52.9371;58.4757;147021696
2014-02-03;58.8428;61.5;56.7157;61.4257;100800674
2014-02-10;61.3471;62.7843;60.6114;62.2157;73909810
2014-02-17;62.4228;63.0348;61.1386;61.7471;56976287
2014-02-24;62.21;65.3986;61.2143;63.6614;85740654
2014-03-03;63.0271;65.4286;62.5857;64.0528;60115731
2014-03-10;64.0671;64.1108;60.4286;60.6414;64341303
2014-03-17;61.17;61.7428;57.9628;57.9986;77166888
2014-03-24;57.9271;58.0643;50.8214;51.2671;153002161
2014-03-31;51.6443;53.0071;47.9828;48.1871;124516429
2014-04-07;48.6443;51.0686;46.23;46.6728;138245232
2014-04-14;47.5557;49.9614;44.5857;49.3914;96967557
2014-04-21;49.9;54.4114;46;46.0114;215397519
2014-04-28;45.4357;49.3843;42.7857;48.6643;156923268
2014-05-05;48.2957;49.6743;44.9086;46.9357;107804421
2014-05-12;47.2657;50.6286;47.2171;49.9828;104477614
2014-05-19;49.5714;57.4957;49.5075;57.4786;149453952
2014-05-26;57.4286;60.2486;56.1643;59.69;98661460
2014-06-02;59.9257;62.1271;58.9286;61.4471;89668662
2014-06-09;61.3571;62.2914;59.6014;61.1014;84819481
2014-06-16;60.9328;64.4028;60.4886;62.8828;90793402
2014-06-23;62.7657;64.2771;61.9043;63.1543;76588892
2014-06-30;63.2657;67.9814;62.8128;67.4786;77240745
2014-07-07;67.4428;67.4614;61.1714;62.8514;104056864
2014-07-14;63.3286;65.1;62.2493;63.4528;69380528
2014-07-21;64.5271;65.3571;59.86;60.2657;138197232
2014-07-28;60.3157;62.1843;58.93;60.7714;69162696
2014-08-04;61.0286;64.4243;60.0443;63.6928;79957125
2014-08-11;64.1743;66;63.3443;65.5843;61816767
2014-08-18;66.0086;68.5071;65.8928;68.4557;62016617
2014-08-25;68.7928;69.3286;67.2586;68.2343;51395471
2014-09-01;68.3571;69.6571;67.1528;67.9543;48887743
2014-09-08;67.7714;69.8981;67.7428;68.0786;57762162
2014-09-15;68.22;68.22;63.6571;65.36;81987749
2014-09-22;65.1814;65.2786;62.6971;64.1071;57418987
2014-09-29;63.4386;65.8;62.47;65.6486;71119015
2014-10-06;66;66.8557;64.4835;64.5828;75821614
2014-10-13;64.4643;64.6386;47.2857;51.0128;265299989
2014-10-20;50.8571;55.2857;50.7771;55.0028;119550068
2014-10-27;54.8428;56.2528;53.5143;56.11;70191464
2014-11-03;56.1757;56.5028;53.7702;54.88;61856939
2014-11-10;54.7143;56.3;53.8634;55.1486;56941439
2014-11-17;55.0543;55.6428;51.3571;51.4686;74860829
2014-11-24;51.5086;51.9226;49.1428;49.5128;62717169
2014-12-01;49.2857;51.1357;48.2343;50.1314;61841141
2014-12-08;49.8814;49.9828;46.98;47.7828;69609603
2014-12-15;48.0557;48.9286;45.0772;48.5886;79731844
2014-12-22;48.5428;49.4842;47.4728;48.5786;30566237
2014-12-29;47.97;50.3314;47.6528;49.8486;37501721
2015-01-05;49.2586;49.2586;45.6614;47.0414;63121651
2015-01-12;47.09;48.25;45.2643;48.1914;82908327
2015-01-19;48.5714;62.7428;47.7143;62.4936;165220286
2015-01-26;62.5714;65.34;61.9571;63.1143;98646304
2015-02-02;62.8428;65.4671;61.9557;63.48;64933616
2015-02-09;63.1986;66.63;62.6371;66.5857;58926284
2015-02-16;66.5157;68.7143;65.9443;68.3143;41309819
2015-02-23;68.3;69.4998;67.1428;67.8443;44266753
2015-03-02;67.7143;68.6071;64.8443;64.8743;59176442
